figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Figure 6,a,Full-gradient activity was present in the registered scope.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05c/full_gradient/full_gradient_evidence.json,sha256:0616dfcd279210fabb6808b0788ad17a75cd2d44c8436ec0bbde4a00f7862565,active_rows/finite_rows/group_lineage_seed_pass_count,CONFIRMATORY,Direct frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,b,Reverse/JVP identity passed all registered probes.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05c/reverse_jvp/reverse_jvp_evidence.json,sha256:59c53e1dac50c111a5afd26932f0197fcafe9159f4c6289226b65cf60b6b482e,pass_count/required_probe_count,CONFIRMATORY,Direct frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"c,h",Coordinate/block FD coverage retained documented misses.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05c/coordinate_fd/coordinate_and_block_fd_evidence.json,sha256:4e97c2cd0089c45a0ec463bbf71e449572352aa05fa34433ea49aa8d27180020,stable_probe_count/required_probe_count/failed_probes,NEGATIVE_CONFIRMATORY,Direct frozen counts; misses not repaired or dropped.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"c,h",Prospective blind coordinate/block coverage also retained misses.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cq/coordinate_block_sampling/coordinate_block_evidence.json,sha256:0b0f7ee41d1027bc062d32f6851c1fc4fc77872db164b046c4cc4c42c5686b8f,pass_or_consistent_count/required_probe_count/failures,NEGATIVE_CONFIRMATORY,Direct frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"d,h",Optimizer-path directional FD passed all 216 registered paths.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cq/optimizer_path_fd/optimizer_path_fd_evidence.json,sha256:5f2da59b50a0a24d740c4056c6f97db8a4a2487417113adcd59672966bb4b06d,path_pass_rows/reverse_jvp_pass_rows/fd_stable_rows,CONFIRMATORY,Direct frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,e,Registered descent radii restored parameters with no writeback.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05c/local_descent/local_descent_evidence.json,sha256:88991ee7a7267a2a0cdaf18e0f96eaa5db80b1e2569a76cf419e7d55622576c1,lineage_window_count/global_window_count/all_radii_restored/writeback,CONFIRMATORY,Direct frozen counts and boolean boundary.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,h,Actual AdamW update dynamics qualified without implying training success.,stage_06_Optimizer_Update_Dynamics_Training/01_update_map_qualification/qualification/stage06a_qualification_summary.json,sha256:3546acac98d059b199c4c4bde8af87ac9078f90490922d8045597e6d6246fad1,gates/terminal_status/counts,CONFIRMATORY,Frozen status cards; adjoining scope card has no new panel label.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"f,g",Frozen actual AdamW one-step and micro-update paths are displayed.,stage_06_Optimizer_Update_Dynamics_Training/01_update_map_qualification/results/d1/D1_20600601_GLOBAL.json,sha256:cbd16f15e07fe15fcad8791dfc0094ae31aa0820bc9560a21be0ff4b85ad45d4,one_step_learning_rates[].learning_rate/Delta_L; micro_updates[].horizon*.loss_sequence,CONFIRMATORY,All stored learning-rate rows and 2/4-step sequences plotted without fitting.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"f,g",Frozen actual AdamW one-step and micro-update paths are displayed.,stage_06_Optimizer_Update_Dynamics_Training/01_update_map_qualification/results/d1/D1_20600602_GLOBAL.json,sha256:a978f14fff80227fcb6671a53d15d8b6bf32ee5e23796d958c895ec869137edf,one_step_learning_rates[].learning_rate/Delta_L; micro_updates[].horizon*.loss_sequence,CONFIRMATORY,All stored learning-rate rows and 2/4-step sequences plotted without fitting.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 6,"f,g",Frozen actual AdamW one-step and micro-update paths are displayed.,stage_06_Optimizer_Update_Dynamics_Training/01_update_map_qualification/results/d1/D1_20600603_GLOBAL.json,sha256:5cd93bde6e9913c8eb1c72b36755fb79ff4108779863a1fa8b20158f76311635,one_step_learning_rates[].learning_rate/Delta_L; micro_updates[].horizon*.loss_sequence,CONFIRMATORY,All stored learning-rate rows and 2/4-step sequences plotted without fitting.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
