path,size_bytes,size_MB,extension,mtime,candidate_category,recommended_action,reason
stage_03_Dynamic_SPH_Transformer_Hybrid/05_dynamic_solver_implementation/stage03d/results/fixed_topology_adfd_results.json,42327843,42.328,.json,2026-08-05T09:00:20+08:00,J,MANUAL_REVIEW_DO_NOT_TRACK,unknown or generated large file
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/evidence_notes/fulltext_cache/M003.pdf,28655363,28.655,.pdf,2026-08-05T22:00:18+08:00,H,EXCLUDE_FROM_GIT,literature/reference material is external to source history
publication_cmame_v1/04_figures/14_exports.zip,25265812,25.266,.zip,2026-08-09T16:41:45+08:00,E,EXCLUDE_ARCHIVE,generated/export archive; retain on disk
stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D2_seed20700711.jsonl,15008009,15.008,.jsonl,2026-08-07T23:07:04+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D2_seed20700712.jsonl,15007875,15.008,.jsonl,2026-08-08T00:31:25+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D2_seed20700713.jsonl,15007377,15.007,.jsonl,2026-08-08T01:56:48+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D1_seed20700712.jsonl,15006952,15.007,.jsonl,2026-08-07T20:24:57+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D1_seed20700713.jsonl,15006622,15.007,.jsonl,2026-08-07T21:40:20+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D1_seed20700711.jsonl,15006209,15.006,.jsonl,2026-08-07T19:05:36+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/evidence_notes/fulltext_cache/RAW114.pdf,14654437,14.654,.pdf,2026-08-05T21:55:46+08:00,H,EXCLUDE_FROM_GIT,literature/reference material is external to source history
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/evidence_notes/fulltext_cache/RAW077.pdf,14307828,14.308,.pdf,2026-08-05T21:55:43+08:00,H,EXCLUDE_FROM_GIT,literature/reference material is external to source history
stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04c/results/formal_864_probe_results.json,13986905,13.987,.json,2026-08-05T23:37:47+08:00,J,MANUAL_REVIEW_DO_NOT_TRACK,unknown or generated large file
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/evidence_notes/fulltext_cache/M008.pdf,13931901,13.932,.pdf,2026-08-05T21:59:23+08:00,H,EXCLUDE_FROM_GIT,literature/reference material is external to source history
