search_date,database_source,theme,exact_query,endpoint,reported_result_count,screened_count,retained_raw_count,rejection_reasons,error
2026-08-05,Crossref REST API,T1,smoothed particle hydrodynamics neural correction,https://api.crossref.org/works?query.bibliographic=smoothed+particle+hydrodynamics+neural+correction&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,1491495,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T1,machine learning enhanced SPH solver,https://api.crossref.org/works?query.bibliographic=machine+learning+enhanced+SPH+solver&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,3485226,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T1,differentiable smoothed particle hydrodynamics,https://api.crossref.org/works?query.bibliographic=differentiable+smoothed+particle+hydrodynamics&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,381343,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T1,graph neural network SPH fluid,https://api.crossref.org/works?query.bibliographic=graph+neural+network+SPH+fluid&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,2439696,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T1,data driven smoothed particle hydrodynamics,https://api.crossref.org/works?query.bibliographic=data+driven+smoothed+particle+hydrodynamics&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,3483757,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T2,learned particle simulator graph network,https://api.crossref.org/works?query.bibliographic=learned+particle+simulator+graph+network&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,1908754,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T2,Lagrangian fluid simulation graph neural network,https://api.crossref.org/works?query.bibliographic=Lagrangian+fluid+simulation+graph+neural+network&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,3334952,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T2,message passing particle fluid simulator,https://api.crossref.org/works?query.bibliographic=message+passing+particle+fluid+simulator&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,1000388,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T2,particle based neural operator fluid dynamics,https://api.crossref.org/works?query.bibliographic=particle+based+neural+operator+fluid+dynamics&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,8813314,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T2,long horizon particle rollout simulator,https://api.crossref.org/works?query.bibliographic=long+horizon+particle+rollout+simulator&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,1589736,15,15,none at discovery stage; deduplication tracked globally,
2026-08-05,Crossref REST API,T3,momentum conserving neural network particle dynamics,https://api.crossref.org/works?query.bibliographic=momentum+conserving+neural+network+particle+dynamics&rows=15&filter=until-pub-date%3A2026-08-05&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Cpublished-print%2Cpublished-online%2Cissued%2Ccontainer-title%2Cvolume%2Cissue%2Cpage%2Carticle-number%2Ctype%2Cpublisher%2CURL,3272447,15,15,none at discovery stage; deduplication tracked globally,
