figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Graphical abstract,route,Cross-stage qualification route is frozen.,stage_08Z_Project_Closure_Publication/02_cross_stage_evidence/cross_stage_evidence_matrix.json,sha256:2c822b44b3c0e6f27522b8a19a5873aaf2a055c89047bb431890386b5f90aba4,stage rows/status and authorization edges,CONFIRMATORY,Selected frozen stage nodes; deterministic horizontal layout.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/01_graphical_abstract/graphical_abstract.svg;publication_cmame_v1/04_figures/01_graphical_abstract/graphical_abstract.pdf;publication_cmame_v1/04_figures/01_graphical_abstract/graphical_abstract.png
Graphical abstract,route,Qualified lower layers do not establish a trained solver.,stage_08Z_Project_Closure_Publication/03_claim_matrix/final_claim_support_matrix.json,sha256:20f3cffba7b50062ae9f6b66b4ba4d020319de3ab747d4ef4eb0b88afe8d8fc9,allowed_claims/prohibited_claims,NEGATIVE_CONFIRMATORY,Claims grouped by frozen qualification status.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/01_graphical_abstract/graphical_abstract.svg;publication_cmame_v1/04_figures/01_graphical_abstract/graphical_abstract.pdf;publication_cmame_v1/04_figures/01_graphical_abstract/graphical_abstract.png
Figure 1,"a,c",The workflow is qualification-first and evidence-layered.,stage_08Z_Project_Closure_Publication/06_figures_and_tables/Figure_01/data.json,sha256:65e5828a0f1bcfa6036abc6b41bae81036c25b8abb409feb9611b2f5675e9c7c,frozen_data.progression,CONFIRMATORY,Scientific layers grouped from frozen progression; stage IDs suppressed from hierarchy.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.svg;publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.pdf;publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.png
Figure 1,"b,e",V2 and the trained-solver route remain not qualified.,stage_08Z_Project_Closure_Publication/01_project_status/project_final_status_ledger.md,sha256:bf600d06dfb003a8062259e5205c8ba99b4796dff9712518537f234566c3dbb0,reference hierarchy and final flags,NEGATIVE_CONFIRMATORY,Verbatim status categories rendered as cards.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.svg;publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.pdf;publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.png
Figure 1,d,Nine documented failures motivated bounded methodological responses.,stage_08Z_Project_Closure_Publication/04_failure_taxonomy/final_failure_taxonomy.json,sha256:d40a396999c4d58f8e0561e43feec539acc3d1d9ce964131a50eb125283a4f97,failures F1--F9,CONFIRMATORY,Frozen sequence shown in row-major layout; no causal magnitude implied.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.svg;publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.pdf;publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.png
Figure 1,e,Allowed and prohibited claims are separated.,stage_08Z_Project_Closure_Publication/03_claim_matrix/final_claim_support_matrix.json,sha256:20f3cffba7b50062ae9f6b66b4ba4d020319de3ab747d4ef4eb0b88afe8d8fc9,allowed_claims/prohibited_claims,NEGATIVE_CONFIRMATORY,Claims grouped by final qualification boundary.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.svg;publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.pdf;publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.png
Figure 2,a--e,Reciprocal unordered pair evaluation is antisymmetric and conservation-compatible.,stage_03_Dynamic_SPH_Transformer_Hybrid/02_temporal_architecture/reciprocal_pair_head_contract.md,sha256:0465ca0211e55f4fbbf3db7a4a88d927028207ff947ece088691080685f9057c,reciprocal pair construction,CONFIRMATORY,Explanatory vector schematic; no numerical values introduced.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.svg;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.pdf;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.png
Figure 2,d,Causal temporal encoding is distinct from an SPH kernel interpretation.,stage_03_Dynamic_SPH_Transformer_Hybrid/02_temporal_architecture/temporal_transformer_contract.md,sha256:b6c51bf8911a7dbc4839b19762f6a8774a90b6b04763018a2d5dbbb2dc2138a9,token/head semantics,CONFIRMATORY,Contract blocks arranged left-to-right.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.svg;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.pdf;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.png
Figure 2,f,D1/D2/D3 are comparison arms and do not encode superiority.,stage_03_Dynamic_SPH_Transformer_Hybrid/02_temporal_architecture/baseline_arm_contract.md,sha256:5e4a6e6225ee969dce1a0c5ad3930710e0b75660fb7a85c59ee1ff66d7708273,D1/D2/D3 arm definitions,CONFIRMATORY,Equal-size arm cards with non-ordinal styling.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.svg;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.pdf;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.png
Figure 2,g,Midpoint RK2 rebuilds graph/source state at registered stages.,stage_03_Dynamic_SPH_Transformer_Hybrid/03_time_integration/rk2_stage_semantics.md,sha256:2577e4a7e72747117256b0f9316ce2822af53a9a691e4d6c5cbcb08c9432bc2f,RK2 stage semantics,CONFIRMATORY,Stage sequence shown schematically.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.svg;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.pdf;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.png
Figure 2,h,Only accepted states commit to causal history.,stage_03_Dynamic_SPH_Transformer_Hybrid/03_time_integration/history_commit_contract.md,sha256:43a683835f5032eac42e421d4bdad21beec78e86f40d62597becabac15d7d0e5,accepted-only history semantics,CONFIRMATORY,Accepted and midpoint states visually differentiated.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.svg;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.pdf;publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.png
