candidate_id,title,doi,themes,status,rejection_reason
RAW001,10 - Beyond Message Passing,10.7551/mitpress/7056.003.0013,T2;T3,EXCLUDED,no relevant methodological evidence
RAW002,A Fast PDE Solver Environment for Large-Scale Applications,10.21236/ada394522,T6,EXCLUDED,screened out after thematic relevance review
RAW003,A Graph Neural Network Surrogate Model for Multi-Objective Fluid-Acoustic Shape Optimization,10.2139/ssrn.5078812,T1;T2,EXCLUDED,screened out after thematic relevance review
RAW005,A solver-in-the-loop framework for end-to-end differentiable coastal hydrodynamics,10.2139/ssrn.6767701,T4,EXCLUDED,screened out after thematic relevance review
RAW006,AEGIS: Constraint-first rollout selection for reliable long-horizon decision-making under explicit constraints,10.21203/rs.3.rs-8912526/v1,T2,EXCLUDED,no relevant methodological evidence
RAW007,Aleph code electrostatic solver verification,10.2172/1459336,T6,EXCLUDED,screened out after thematic relevance review
RAW008,Code Verification by the Method of Manufactured Solutions,10.2172/759450,T7,EXCLUDED,screened out after thematic relevance review
RAW009,"Conservative, Non-conservative and Average Pairwise Statistical Significance of Local Sequence Alignment",10.1109/bibm.2008.19,T3,EXCLUDED,no relevant methodological evidence
RAW011,Dynamic Graph Topology Estimation for sensor networks via Outdated-Data-Aware Observation Grouping,10.2139/ssrn.7037626,T5,EXCLUDED,screened out after thematic relevance review
RAW012,EGNN‑DEM: an approach combining equivariant graph neural network (EGNN) with DEM for particle breakage simulation,10.2139/ssrn.7199665,T3,EXCLUDED,screened out after thematic relevance review
RAW013,Equivariant piecewise differentiable immersions,10.1007/bfb0085004,T5,EXCLUDED,screened out after thematic relevance review
RAW015,Fourier Neural Operator Based Fluid-Structure Interaction for Predicting the Vesicle Dynamics,10.2139/ssrn.4689737,T2,EXCLUDED,screened out after thematic relevance review
RAW018,Learning spatially varying PDE operators with a differentiable finite-difference solver,10.2139/ssrn.7228943,T4;T6,EXCLUDED,screened out after thematic relevance review
RAW019,Machine-Learning-Enhanced NEGF Solver of Interband Cascade Laser,10.1109/nusod62083.2024.10723554,T1,EXCLUDED,screened out after thematic relevance review
RAW020,Message-passing multiprocessor simulator,10.2172/5760616,T2;T3,EXCLUDED,no relevant methodological evidence
RAW021,Multiple imputation regression discontinuity designs: Alternative to regression discontinuity designs to estimate the local average treatment effect at the cutoff,10.1080/03610918.2021.1960374,T5,EXCLUDED,no relevant methodological evidence
RAW024,ROMS Tangent Linear and Adjoint Models: Testing and Applications,10.21236/ada625256,T4,EXCLUDED,screened out after thematic relevance review
RAW025,Smoothed Particle Hydrodynamics Method,10.1007/978-3-030-00773-7_3,T1;T7,EXCLUDED,screened out after thematic relevance review
RAW026,SPH method validation,10.1093/acprof:oso/9780199655526.003.0007,T7,EXCLUDED,screened out after thematic relevance review
RAW027,Symplectic Discrete Exterior Calculus: A Structure-Preserving Graph Neural Network for Hamiltonian Dynamics,10.2139/ssrn.6203398,T3,EXCLUDED,screened out after thematic relevance review
RAW028,Three-Dimensional Granular Flow Simulation Using Graph Neural Network-Based Learned Simulator,10.1061/9780784485347.034,T2,EXCLUDED,screened out after thematic relevance review
RAW029,TND-NAS: Towards Non-Differentiable Objectives in Differentiable Neural Architecture Search,10.5220/0011917300003612,T5,EXCLUDED,screened out after thematic relevance review
RAW030,Using Machine Learning to Make Assessment of Next Generation Science Standards–Based Three-Dimensional Science Scalable,10.3102/1578476,T6,EXCLUDED,no relevant methodological evidence
RAW032,Web Credibility Assessment,10.1201/b17778-11,T6,EXCLUDED,no relevant methodological evidence
RAW033,When Particle Shifting is Expected to Improve Convergence of Lagrangian Smoothed Particle Hydrodynamics,10.2139/ssrn.4527159,T7,EXCLUDED,screened out after thematic relevance review
RAW034,5 - Advanced Message Passing in MPI,10.7551/mitpress/7056.003.0008,T2;T3,EXCLUDED,no relevant methodological evidence
RAW035,8. Automatic differentiation,10.1515/9783110499469-009,T4,EXCLUDED,screened out after thematic relevance review
RAW036,A discrete momentum-conserving explicit algorithm for multibody dynamics analysis,10.2514/6.1992-2089,T3,EXCLUDED,screened out after thematic relevance review
RAW037,A high order PDE solver to price three factor derivatives,10.22541/au.165208508.89418349/v1,T6,EXCLUDED,screened out after thematic relevance review
RAW038,A mesh-based Graph Neural Network approach for surrogate modeling of Lagrangian free surface fluid flows,10.1016/j.compfluid.2025.106773,T2,EXCLUDED,screened out after thematic relevance review
RAW039,"A message-passing, distributed memory parallel algorithm for direct numerical simulation of turbulence with particle tracking",10.1016/b978-044482322-9/50112-2,T2,EXCLUDED,screened out after thematic relevance review
RAW040,Code and Solution Verification of an Adaptive Finite Element Turbulent Flow Solver,10.2514/6.2007-4202,T6,EXCLUDED,screened out after thematic relevance review
RAW041,Correction to: Application of hourglass control to Eulerian smoothed particle hydrodynamics,10.1007/s40571-021-00412-2,T1,EXCLUDED,duplicate/correction/peer-review record
RAW042,Credibility-Gated Anchored Boosting: Auditable Machine Learning for Underwriting Risk Assessment and Loss Forecasting,10.2139/ssrn.7052878,T6,EXCLUDED,no relevant methodological evidence
RAW045,Hybrid Modeling of the Reversed‐Phase Chromatographic Purification of an Oligonucleotide: Few‐Shot Learning From Differentiable Physics Solver‐in‐the‐Loop,10.1002/bit.29018,T4,EXCLUDED,not relevant physical-solver domain
RAW046,Improving the solver for the Balitsky-Kovchegov evolution equation with Automatic Differentiation,10.1016/j.cpc.2025.109616,T4,EXCLUDED,not relevant physical-solver domain
RAW047,Inviscid smoothed particle hydrodynamics,10.1111/j.1365-2966.2010.17158.x,T1;T7,EXCLUDED,screened out after thematic relevance review
RAW048,Learnable Graph Network Model (LGNM): A Physics Constrained Graph Neural Network with Quantum Hamiltonian Learning,10.64898/2026.07.14.738428,T1;T3,EXCLUDED,screened out after thematic relevance review
RAW049,LifeSim: Long-Horizon User Life Simulator for Personalized Assistant Evaluation,10.18653/v1/2026.findings-acl.1022,T2,EXCLUDED,no relevant methodological evidence
RAW050,Manufactured Solutions for Solid Mechanics Code Verification -- Hyperelastic Material Case,10.2172/1562627,T7,EXCLUDED,screened out after thematic relevance review
RAW051,Nonparametric Regression with Stochastic Boundary and Regression Discontinuity with Endogenous Cutoff,10.2139/ssrn.3510899,T5,EXCLUDED,no relevant methodological evidence
RAW052,NuGraph2: A Graph Neural Network for Neutrino Event Reconstruction,10.2172/2432449,T1;T3,EXCLUDED,screened out after thematic relevance review
RAW053,Pairwise Force Field for Magnesium Oxide Atomistic Simulations,10.2139/ssrn.4994284,T3,EXCLUDED,no relevant methodological evidence
RAW054,particles: A Graph Based Particle Simulator Based on D3-Force,10.32614/cran.package.particles,T2,EXCLUDED,secondary source only
RAW055,Piecewise differentiable immersions into riemannian manifolds,10.1007/bfb0085005,T5,EXCLUDED,screened out after thematic relevance review
RAW057,"Review for ""EGraFFBench: evaluation of equivariant graph neural network force fields for atomistic simulations""",10.1039/d4dd00027g/v1/review1,T3,EXCLUDED,duplicate/correction/peer-review record
RAW058,ROMS/TOMS Tangent Linear and Adjoint Models:Testing and Applications,10.21236/ada626935,T4,EXCLUDED,screened out after thematic relevance review
RAW059,Scientific Machine Learning for Trustworthy Medical Diagnostics: A Quadrature-Optimized Deep Learning Framework,10.2139/ssrn.7119238,T6,EXCLUDED,no relevant methodological evidence
RAW060,Static and Dynamic Graph Community Metrics as Learning Features for Detecting Cyber-Attacks Through Network Topology Analysis,10.2139/ssrn.4976418,T5,EXCLUDED,not relevant physical-solver domain
RAW061,The Laguerre finite difference one-way equation solver,10.1016/j.cpc.2017.01.014,T4,EXCLUDED,screened out after thematic relevance review
RAW062,"Transforming International Financial Reporting Standards Adoption Using Machine Learning for Automated Classification, Disclosure, and Compliance Optimization",10.7753/ijcatr1407.1002,T6,EXCLUDED,no relevant methodological evidence
RAW063,Validation of the SPH Models,10.1007/978-3-662-44211-1_4,T7,EXCLUDED,screened out after thematic relevance review
RAW064,Variational Quantum Linear Solver Enhanced Quantum Support Vector Machine,10.54364/aaiml.2024.42124,T1,EXCLUDED,screened out after thematic relevance review
RAW065,VP-DARTS: Validated Pruning Differentiable Architecture Search,10.5220/0012296700003636,T5,EXCLUDED,screened out after thematic relevance review
RAW067,10 Über Message-Passing hinaus,10.1524/9783486841008.259,T2;T3,EXCLUDED,no relevant methodological evidence
RAW068,A computational fluid dynamics based artificial neural network model to predict solid particle erosion,10.1016/j.wear.2017.02.028,T2,EXCLUDED,screened out after thematic relevance review
RAW069,"A differentiable, shock-capturing neural solver for compressible flow simulation",10.1063/5.0316706,T4,EXCLUDED,screened out after thematic relevance review
RAW070,A Field-Scale AI Surrogate: Graph Network Simulator for Soil Moisture Prediction,10.2139/ssrn.7075247,T2,EXCLUDED,screened out after thematic relevance review
RAW071,Bayesian Regression Discontinuity Design with Unknown Cutoff,10.1214/25-ba1575,T5,EXCLUDED,no relevant methodological evidence
RAW072,Code Verification of a Pressure-Based Solver for Subsonic Compressible Flows,10.1115/1.4048750,T6,EXCLUDED,screened out after thematic relevance review
RAW073,Conserving the linear momentum in stochastic dynamics: Dissipative particle dynamics as a general strategy to achieve local thermostatization in molecular dynamics simulations,10.1002/jcc.24677,T3,EXCLUDED,screened out after thematic relevance review
RAW074,Correction to: Consensus statement on the credibility assessment of machine learning predictors,10.1093/bib/bbag097,T6,EXCLUDED,duplicate/correction/peer-review record
