panel,failed,frozen_status,hypothesis,next_authorization,passed,scientific_consequence,sealed_test_accessed,sources,stage,training_occurred,validation_consumed,flag,value,peak_rss,wall,pass,checkpoint_count,all_hashes_match,counter,artifact_count,all_artifacts_mutable_false,inventory_sha256
a,A complete diffSPH solver was not executed as Stage00 truth.,CONDITIONAL,Apple Silicon CPU/MPS can support a bounded 2D proof of concept.,Stage01 minimum verification path,Environment/component readiness and bounded CPU/MPS execution checks.,Environment readiness is not solver verification.,False,"[""project_wide_synthesis/02_stage_timeline/complete_stage_timeline.json""]",Stage00,False,False,,,,,,,,,,,
a,The final independent V2 spatial/shear qualification; high-resolution SPH was not established as truth.,V2_QUALIFICATION_FAIL; FINITE_RESOLUTION_DOMINANT,"A fixed-physics SPH chain can be verified across implementation, conservation, reference, resolution, and independent-validation layers.",Stage02 qualification-first target route,"Structural operator repair, bounded resource policy, dense-equivalent semidiscrete reference, plateau-aware MMS requalification, evaluator and execution infrastructure.","Model-form, temporal, quadrature, topology, and finite-resolution effects must be separated.",False,"[""project_wide_synthesis/02_stage_timeline/complete_stage_timeline.json"",""06_experiments/stage_01h_viscous_decay_diagnosis/results/stage01h_status.txt""]",Stage01,False,True,,,,,,,,,,,
a,Static pair-force fitting v0.1 and v0.2 global train-fit gates; regularity as a hard dataset gate.,STAGE02_ROUTE_CLOSED_PUBLICATION_BOUNDARY_COMPLETE,A reciprocal conservative pair-force PIO can be structurally qualified and statically fitted.,Stage03 dynamic hybrid specification,"Theory, target/reference hierarchy, blind dataset, and PAIR_FORCE_PIO_ARCHITECTURE_QUALIFIED.",Structural correctness and representability did not imply successful static learning; the route moved to dynamic accepted-state tasks.,False,"[""stage_02_Particle_Interaction_Operator/07_reports/stage02ms_final_report.md"",""stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_architecture_v0_1/results/stage02k_qualification_summary.json""]",Stage02,True,True,,,,,,,,,,,
a,Complete multistep AD/FD qualification: 216 stable probes and 144 failures; history gradient 0/6.,STAGE03_ROUTE_PAUSED_GRADIENT_BOUNDARY_COMPLETE,A conservative RK2 neural hybrid with short history can be implemented and multistep-gradient qualified.,Stage04 task-signal boundary,"Dynamic reference trajectories, RK2 hybrid implementation, zero-correction equivalence, checkpoint identity, one-step AD, and topology component.",Correct implementation did not establish multistep trainability; task-aligned gradient diagnosis was required.,False,"[""stage_03_Dynamic_SPH_Transformer_Hybrid/10_manifests/stage03ds_final_manifest.json"",""stage_03_Dynamic_SPH_Transformer_Hybrid/10_manifests/stage03d_final_manifest.json""]",Stage03,False,False,,,,,,,,,,,
a,TASK_ALIGNED_PARAMETER_GRADIENT_NOT_QUALIFIED; raw state-loss signal was attenuated; complete parameter-coordinate FD coverage was not established.,STAGE04_ROUTE_PAUSED_TASK_SIGNAL_BOUNDARY_COMPLETE,A local-causal raw next-state task can avoid history-gradient attenuation while preserving structure.,Stage05 scale-aware D0 defect route,"Local-causal reference-family pool, analytic/topology/DOP853 qualification, sealed role governance, nonzero correction Jacobian and structural safety.","The target and scale, not only architecture Jacobians, determine detectable optimizer signals.",False,"[""stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_final_manifest.json"",""stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cr_final_manifest.json""]",Stage04,False,False,,,,,,,,,,,
a,Complete coordinate-level FD qualification and local-descent route remained incomplete/not qualified.,PROSPECTIVE_OPTIMIZER_PATH_GRADIENT_CONFIRMATION_NOT_QUALIFIED; target/scale qualified,A D0-centered scale-aware conservative discrete-defect target restores identifiable optimization signals.,Stage06 actual-optimizer qualification,"CONSERVATIVE_DISCRETE_DEFECT_TARGET_AND_SCALE_QUALIFIED with 384 origins; representability, scale, uncertainty, conservation and symmetry gates.","The defect formulation was retained, while optimizer-path evidence was moved to actual update dynamics.",False,"[""stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/qualification/stage05b_qualification_summary.json"",""stage_05_Scale_Aware_Discrete_Defect_Training/09_manifests/stage05cq_final_manifest.json""]",Stage05,False,False,,,,,,,,,,,
a,All D1/D2/D3 arms had 0/3 seed passes; transformer route not qualified.,FORMAL_TRAINING_FAILURE_ATTRIBUTED,Qualified actual AdamW update dynamics can support the frozen formal K=1 campaign.,Stage07 heterogeneous development pool,ACTUAL_OPTIMIZER_UPDATE_DYNAMICS_QUALIFIED; nine formal runs completed with checkpoint integrity and structure gates.,Local descent and update-level trainability did not guarantee the frozen global criterion; failure was attributed to TRAIN lineage heterogeneity.,False,"[""stage_06_Optimizer_Update_Dynamics_Training/01_update_map_qualification/qualification/stage06a_qualification_summary.json"",""stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06cr/manifests/stage06cr_final_manifest.json""]",Stage06,True,True,,,,,,,,,,,
a,All arms 0/3 seed passes; Branch B NOT_SUPPORTED; HET_S2_02 was descriptor and target out of support.,TRAIN_V2_RETRAINING_FAILURE_ATTRIBUTED,Prospective formula heterogeneity augmentation can restore shared-map training and fresh-validation transfer.,Stage08 systematic coverage V3,"12-lineage pool qualification, TRAIN_V2 target/scale/update qualification, nine retraining runs, and support-gap attribution.",Formula heterogeneity alone did not guarantee target-manifold support; hash-based role assignment exposed a held-out H2 gap.,False,"[""stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/results/stage07dr_results.json"",""stage_07_Heterogeneous_Development_Pool/08_reports/stage07dr_final_report.md""]",Stage07,True,True,,,,,,,,,,,
a,"20-lineage descriptor/target support, HET_S2_02 target PCA, key envelopes, and formal fresh-validation closure (0/4).",SYSTEMATIC_COVERAGE_V3_POOL_NOT_QUALIFIED,Prospective four-layer coverage selection can close consumed support and produce four fresh in-support validation lineages.,None; FULL_SOLVER_TRAINING_ROUTE_CLOSED,128+64 deterministic candidates; 192/192 candidate qualification; eight algorithmic TRAIN selections; TRAIN_V3=14; HET_S2_02 descriptor distance reduced to 1.8606627588827505.,Descriptor-space support did not imply raw correction-target manifold coverage; final development cycle exhausted.,False,"[""stage_08_Systematic_Coverage_V3/01_systematic_coverage_design/qualification/stage08a_qualification_summary.json"",""stage_08_Systematic_Coverage_V3/08_reports/stage08a_final_report.md""]",Stage08,False,False,,,,,,,,,,,
b,,,,,,,,,,,,ACTUAL_OPTIMIZER_UPDATE_DYNAMICS_QUALIFIED,True,,,,,,,,,
