candidate_id,themes,discovery_queries,best_rank,title,authors,published_date,year,venue,volume,issue,pages_or_article,doi,crossref_type,publisher,crossref_url,publisher_url,discovery_source,metadata_status
RAW001,T2;T3,message passing particle fluid simulator || antisymmetric message passing conservation,1,10 - Beyond Message Passing,,1999-01-01,1999,Using MPI,,,,10.7551/mitpress/7056.003.0013,book-chapter,The MIT Press,https://api.crossref.org/works/10.7551/mitpress/7056.003.0013,https://doi.org/10.7551/mitpress/7056.003.0013,Crossref REST,RAW_CANDIDATE
RAW002,T6,manufactured solutions learned PDE solver,1,A Fast PDE Solver Environment for Large-Scale Applications,Bjorn Jawerth,2001-04-28,2001,,,,,10.21236/ada394522,report,Defense Technical Information Center,https://api.crossref.org/works/10.21236/ada394522,https://doi.org/10.21236/ada394522,Crossref REST,RAW_CANDIDATE
RAW003,T1;T2,graph neural network SPH fluid || Lagrangian fluid simulation graph neural network,1,A Graph Neural Network Surrogate Model for Multi-Objective Fluid-Acoustic Shape Optimization,Farnoosh Hadizadeh; Wrik Mallik; Rajeev  Kumar Jaiman,2025-01-01,2025,,,,,10.2139/ssrn.5078812,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.5078812,https://doi.org/10.2139/ssrn.5078812,Crossref REST,RAW_CANDIDATE
RAW004,T3,momentum conserving neural network particle dynamics,1,A physics-informed graph neural network conserving linear and angular momentum for dynamical systems,Vinay Sharma; Olga Fink,2026-01-15,2026,Nature Communications,17,1,1045,10.1038/s41467-025-67802-5,journal-article,Springer Science and Business Media LLC,https://api.crossref.org/works/10.1038/s41467-025-67802-5,https://doi.org/10.1038/s41467-025-67802-5,Crossref REST,RAW_CANDIDATE
RAW005,T4,solver in the loop differentiable physics,1,A solver-in-the-loop framework for end-to-end differentiable coastal hydrodynamics,Elsa Cardoso-Bihlo; Alexander Bihlo,2026-01-01,2026,,,,,10.2139/ssrn.6767701,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.6767701,https://doi.org/10.2139/ssrn.6767701,Crossref REST,RAW_CANDIDATE
RAW006,T2,long horizon particle rollout simulator,1,AEGIS: Constraint-first rollout selection for reliable long-horizon decision-making under explicit constraints,Rui Li; Shuang Cao; Ruihua Liu; Alexandre Duprey; Audwin Chang,2026-02-20,2026,,,,,10.21203/rs.3.rs-8912526/v1,posted-content,Springer Science and Business Media LLC,https://api.crossref.org/works/10.21203/rs.3.rs-8912526/v1,https://doi.org/10.21203/rs.3.rs-8912526/v1,Crossref REST,RAW_CANDIDATE
RAW007,T6,code verification ML augmented solver,1,Aleph code electrostatic solver verification,Matthew Tyler Bettencourt,2015-01-01,2015,,,,,10.2172/1459336,report,Office of Scientific and Technical Information (OSTI),https://api.crossref.org/works/10.2172/1459336,https://doi.org/10.2172/1459336,Crossref REST,RAW_CANDIDATE
RAW008,T7,SPH verification manufactured solutions,1,Code Verification by the Method of Manufactured Solutions,KAMBIZ SALARI; PATRICK KNUPP,2000-06-01,2000,,,,,10.2172/759450,report,Office of Scientific and Technical Information (OSTI),https://api.crossref.org/works/10.2172/759450,https://doi.org/10.2172/759450,Crossref REST,RAW_CANDIDATE
RAW009,T3,pairwise conservative force learning,1,"Conservative, Non-conservative and Average Pairwise Statistical Significance of Local Sequence Alignment",Ankit Agrawal; Xiaoqiu Huang,2008-01-01,2008,2008 IEEE International Conference on Bioinformatics and Biomedicine,,,433-436,10.1109/bibm.2008.19,proceedings-article,IEEE,https://api.crossref.org/works/10.1109/bibm.2008.19,https://doi.org/10.1109/bibm.2008.19,Crossref REST,RAW_CANDIDATE
RAW010,T5,differentiable contact simulation discontinuity,1,Differentiable Dynamics Simulation Using Invariant Contact Mapping and Damped Contact Force,Minji Lee; Jeongmin Lee; Dongjun Lee,2023-05-29,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),,,11683-11689,10.1109/icra48891.2023.10161519,proceedings-article,IEEE,https://api.crossref.org/works/10.1109/icra48891.2023.10161519,https://doi.org/10.1109/icra48891.2023.10161519,Crossref REST,RAW_CANDIDATE
RAW011,T5,dynamic graph differentiation topology,1,Dynamic Graph Topology Estimation for sensor networks via Outdated-Data-Aware Observation Grouping,Zefeng Qi; Xuewen Liao; Guobing Li; Shiyu Zhai,2026-01-01,2026,,,,,10.2139/ssrn.7037626,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.7037626,https://doi.org/10.2139/ssrn.7037626,Crossref REST,RAW_CANDIDATE
RAW012,T3,equivariant graph neural network particle dynamics,1,EGNN‑DEM: an approach combining equivariant graph neural network (EGNN) with DEM for particle breakage simulation,Deze Yang; Xihua Chu,2026-01-01,2026,,,,,10.2139/ssrn.7199665,posted-content,Elsevier BV,https://api.crossref.org/works/10.2139/ssrn.7199665,https://doi.org/10.2139/ssrn.7199665,Crossref REST,RAW_CANDIDATE
