figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Figure 4,a,All 18 frozen static TRAIN histories are retained.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261201/training_history.json,sha256:9ebccc2b15de2f2542b27ceccc14d1228ea362b90cf005896940ed0a571469ef,rows[].update/graph_balanced_loss (plus 17 listed in source_data),NEGATIVE_CONFIRMATORY,All histories plotted; source_data records every source hash.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,b,Registered static learning gates did not establish the route.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/results/frozen_success_gate_evaluation.json,sha256:264be79bf40cc7f03ffaa4f4da1c9f9e4c77f7d45428283d90ecba19a589c4e3,architectures.* A/B/C/E,NEGATIVE_CONFIRMATORY,Boolean gate matrix; sealed-test gate D intentionally excluded.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,b,The second static campaign remained below its seed gate.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/results/stage02mq_frozen_success_gate_evaluation.json,sha256:16a8574f2c48cbf1eb87df427a72642f352bddbeed99152db6aefc22d69285f3,architectures.* A/B/C/E,NEGATIVE_CONFIRMATORY,Boolean gate matrix; sealed-test gate D intentionally excluded.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,"c,e",Complete task-aligned directional evidence is mixed or unresolved.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/directional_projection/directional_projection_and_factors.json,sha256:8cedf91d13901fa0b8958189db1c8c094f2532589e16c63753b0ec3dedab0fdb,rows[].components and reason_counts,DIAGNOSTIC_ONLY,Historical derivatives log-scaled; 864 rows × three components; frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,d,D0 next-state residual magnitudes are small in registered coordinates.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/state_residual/state_residual_and_D0_comparison.json,sha256:36c775ac32c36075af5933e05244d7a3598dcace5388a1b436b01383837354b6,rows[].D0_dimensionless_state_residual_RMS,DIAGNOSTIC_ONLY,Deterministic fixed-bin histogram on log x-axis.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,f,RK2 maps acceleration into velocity as Δt and position as Δt²/2.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/rk2_attenuation/rk2_attenuation.json,sha256:1cd05d45441f1d4f529ba24583a78e800a1cdbf8b75f81550dcdade6241e517a,rows[].V_over_dt_A_mid/X_over_dt2_A_mid,DIAGNOSTIC_ONLY,Raw registered ratios; theoretical guide lines at 1 and 0.5.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,g,Stage04 attribution was mixed or unresolved.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/qualification/stage04cr_summary.json,sha256:3b24b834bca6deeca61f6388706ebc739beb22b5773fddfa26854754035c8cdb,final_status/reason_counts,NEGATIVE_CONFIRMATORY,Status card.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,g,The scale-aware defect target subsequently qualified.,stage_05_Scale_Aware_Discrete_Defect_Training/01_defect_target_qualification/stage05b/qualification/stage05b_qualification_summary.json,sha256:04e05c230e3ca8e3aee53836942370d14c90f9eddd5664afafbc46cbf57b782b,status/gates,CONFIRMATORY,Authorization transition only; no success inference.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261202/training_history.json,sha256:15bdd45dad7be54318f13fbd5d457c318bbe00684403b2333a06d34498474c73,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261203/training_history.json,sha256:6920f8e9f2723206957feba59177be57e18c0f537931b7e2d87187c120ba91f2,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
Figure 4,a,Frozen static TRAIN history included without selection.,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261201/training_history.json,sha256:1ee639fbc884001b5699680487f6013293140ce33cbab11629989d73e7a0e332,rows[].update/graph_balanced_loss,NEGATIVE_CONFIRMATORY,Raw history plotted in file row order.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf;publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png
